cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_pulse_penetration,5,target_only_ridge,20,100,0.05972502996953665,0.06204853697862792,-0.047538257100255804,-0.1383733474662432,0.31292213494283005,0.3012643831363839,0.3528614088145643,0.31616878285450106,0.0550970016316679,0.0007154560500906859
all_site_folds_to_100,ahn4_pulse_penetration,5,target_reference_mean,20,100,0.0643367438163623,0.06618435225322246,-0.12112779747158806,-0.2594307842835982,,,,,0.059117510124040304,0.001207166894568035
all_site_folds_to_100,ahn4_pulse_penetration,10,source_offset,20,100,0.043380732720797496,0.045179134453777,0.4386321456102772,0.3449938296761392,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0007724155579702329
all_site_folds_to_100,ahn4_pulse_penetration,10,source_plus_target_ridge,20,100,0.05224792726302655,0.05447114484593159,0.1551833780799114,-0.049743840706050306,0.6676762520024271,0.6250556189257086,0.7118226600985219,0.6334794227593329,0.0404415890069475,-0.0013771065382692281
all_site_folds_to_100,ahn4_pulse_penetration,10,target_only_ridge,20,100,0.054367198136558645,0.05551863400564055,0.14299308075371606,0.08465505167378053,0.4723588318270585,0.4272718090877473,0.518150719012788,0.45505127095650405,0.05184479781107195,0.0016616611097984605
all_site_folds_to_100,ahn4_pulse_penetration,10,target_reference_mean,20,100,0.0621336227743887,0.06380468376346904,-0.0678188976422443,-0.15078722762350222,,,,,0.059117510124040304,0.001040611044919024
all_site_folds_to_100,ahn4_pulse_penetration,25,source_offset,20,100,0.042100742616766496,0.04403105195273574,0.46506388553337535,0.3796399793557236,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0010453710510463486
all_site_folds_to_100,ahn4_pulse_penetration,25,source_plus_target_ridge,20,100,0.051385649773853695,0.05384597037505312,0.17866965623294379,-0.021381072924009963,0.6673341782064129,0.6256561815166454,0.7118226600985219,0.6329072692893619,0.04042815912283375,-0.0012989710954411221
all_site_folds_to_100,ahn4_pulse_penetration,25,target_only_ridge,20,100,0.047446065852861,0.04827429405895292,0.3535992302263957,0.2944046997591434,0.6237217629053653,0.5555707092657881,0.6536907536907538,0.5792384479859612,0.04606750154491615,0.0013075750273123124
all_site_folds_to_100,ahn4_pulse_penetration,25,target_reference_mean,20,100,0.0612200161265625,0.06224985159267443,-0.034047376339649,-0.09116289434904787,,,,,0.059117510124040304,0.0013509816942791448
